概念と	コンピュータという
研究が	行われている
最近では	活躍している
GANと	様々な
派生が	でて
各分野で	活躍している
GAN敵対的生成ネットワークは	加えて
ディープラーニングが	だしている
分野で	だしている
成果を	だしている
ことに	加えて
画像の	生成技術において
生成技術において	見せている
進化を	見せている
森正弥は	広がっており
背景に	広がっており
応用分野が	広がっており
コンテンツ生成を	行っていく
応用も	始まっていると
構築が	試みられてきているが
間	試みられてきているが
解決が	なってきた
壁と	なってきた
ルネデカルトは	提唱した機械論
身体が	機械であると
ただの	機械であると
複雑な	機械であると
機械であると	提唱した機械論
ブレーズパスカルは	製作した
1642年	製作した
機械式計算機を	製作した
エイダラブレスは	行った
開発を	行った
アルフレッドノースホワイトヘッドは	もたらした
数学原理を	出版し
出版し	もたらした
形式論理に	もたらした
革命を	もたらした
ウォルターピッツは	築いた
神経活動に	内在する
論理計算と	題する
論文を	発表し
1943年に	発表し
発表し	築いた
基礎を	築いた
1950年代に	なると
AIに関して	出始めた
成果が	出始めた
ジョンマッカーシーは	作り出した
会議で	作り出した
用語を	作り出した
彼は	開発した
プログラミング言語を	開発した
テストを	する
方法として	導入した
アランチューリングは	導入した
チューリングテストを	導入した
ジョセフワイゼンバウムはを	構築した
これは	おしゃべりロボットである
来談者中心療法を	行う
1956年に	行われた
ダートマス会議開催の	提案書において
提案書において	使用され
人類史上	用語として
用語として	使用され
使用され	創立された
分野として	創立された
間に	示した
ジョエルモーゼスは	示した
プログラム中で	示した
記号的推論のパワーを	示した
シーモアパパートは	開発した
パーセプトロンを	出版して
出版して	単純な
限界を	示し
アランカルメラウアーは	開発した
プログラミング言語を	開発した
テッドショートリッフェは	示した
医学的診断と	療法における
ルールベースシステムを	構築し
構築し	示した
パワーを	示した
これは	呼ばれることもある
エキスパートシステムと	呼ばれることもある
コースを	走行する
自律的に	走行する
乗り物を	開発した
1980年代に	なった
ニューラルネットワークは	なった
バックプロパゲーションアルゴリズムによって	使われるように
時代に	提唱した
ロドニーブルックスが	提唱した
学説身体性を	提唱した
1990年代は	上げた
分野で	上げた
アプリケーションが	上げた
成果を	上げた
1992年に	開発し
IBMは	開発し
世界チャンピオンに	匹敵する
バックギャモン専用コンピュータTDギャモンを	開発し
開発し	打ち負かし
チェス専用コンピュータディープブルーは	打ち負かし
1997年5月に	打ち負かし
ガルリカスパロフを	打ち負かし
同年8月には	敗れた
オセロで	敗れた
オセロ専用コンピュータロジステロに	敗れた
村上健が	敗れた
国防高等研究計画局は	した
最初の	湾岸戦争において
湾岸戦争において	スケジューリングするのに
ユニットを	スケジューリングするのに
スケジューリングするのに	使い
AIを	使い
これによって	省かれた
コストが	上回った
投資全額を	上回った
ことを	した
日本では	啓蒙し
甘利俊一日本学士院会員らが	啓蒙し
精力的に	啓蒙し
啓蒙し	発生したが
成果も	発生したが
発生したが	指摘された
ブラックボックス性が	指摘された
1998年には	提唱されたが
XMLが	提唱されたが
提唱されたが	適用し
ここから	適用し
Web上の	非構造化データに対して
非構造化データに対して	適用し
アプリケーション別に	適した
意味付けを	適用し
適用し	行わせる
処理を	行わせる
試みが	開始された
同年に	提唱された
ティムバーナーズ	リーにより
Webに	行わせる
知的処理を	行わせる
セマンティックウェブが	提唱された
技術は	行わせる
データに	付加して
意味を	付加して
付加して	行わせる
コンピュータに	行わせる
知的処理を	行わせる
方法を	規格化する
国際的に	規格化する
規格化する	ものである
規格には	含まれている
オントロジーを	表現する
OWLも	含まれている
ことから	分かる
流行した	亜種である
エキスパートシステムの	亜種である
ことが	分かる
2000年代前半に	完了しているが
規格化が	完了しているが
完了しているが	していない
Web開発者にとっては	見出せなかった
開発工数に	見合うだけの
メリットが	見出せなかった
ことから	していない
現在も	していない
普及は	していない
日本においては	流行した
後に	流行した
ニューロファジィが	流行した
研究が	進むにつれて
フレーム問題に	直面し
直面し	至る
産業の	在り方を
AIに	至る
ブームは	終焉した
1980年代に	入って
中心に	提案されるように
知識工学に	基づく
エキスパートシステムが	提案されるように
多数	提案されるように
提案されるように	なり
エキスパートシステムを	する
専門と	する
AIベンチャーも	立ち上がった
流行から	生まれた
究極の	プロジェクトとして
プロジェクトとして	挙げられる
第五世代コンピュータが	挙げられる
1992年まで	費やして
日本は	費やして
国家プロジェクトとして	費やして
570億円を	費やして
研究を	進めるも
知識工学的手法では	必要で
手入力が	必要で
必要で	あり
専門家間で	異なる
解釈が	異なる
場合には	行えない等の
ルール化が	行えない等の
問題も	あり
実現には	至らなかった
成果物は	実行する
命令を	解釈して
機構で	解釈して
解釈して	実行する
高速に	実行する
実行する	Prolog専用機であるが
並列型の	Prolog専用機であるが
Prolog専用機であるが	見つからなかった
意味で	見つからなかった
応用先が	見つからなかった
1990年代中頃に	かけて
従来から	用いられてきた
電子制御の	手法として
手法として	用いられてきた
問題を	克服する
ため	研究され
知的制御が	研究され
研究され	分類する
ルールを	用いる
特徴を	学習して
学習して	分類する
ニューラルネットワーク	ニューロファジィという
2つを	融合した
融合した	ニューロファジィという
手法が	迎えた
中心に	迎えた
ブームを	迎えた
高級路線に	合わせて
白物家電製品でも	増やし
種類を	増やし
元に	最適化する
運転を	最適化する
モデルが	発売され
多数	発売され
発売され	始めた
2018年までに	取得している
日本が	取得している
特許を	取得している
事から	なっていた
ブームと	なっていた
ことが	分かっている
白物家電では	用いられているが
当時より	発展した
制御技術が	用いられているが
ものに	なり
利用者には	意識されなく
意識されなく	なっている
ニューロファジィが	なった
ブームに	なった
1990年代には	ビッグデータという
無くブロードバンド接続普及後の	行われなかった
2010年に	提唱された
提唱された	行われなかった
産業応用は	行われなかった
ニューラルネットワークが	巻き込んで
一般人も	巻き込んで
流行した	事例としては
事例としては	事例であり
事例であり	言える
前史とも	言える
社会現象と	言える
松下電器が	活かすファジィ
1985年頃から	活かすファジィ
人間が	持つような
制御に	活かすファジィ
研究を	開始し
開始し	漕ぎ着けた
発売に	漕ぎ着けた
愛妻号Dayファジィは	世界初であった
従来よりも	収集した
センサーで	収集した
データに	基づいて
運転を	最適化する
洗濯機で	世界初であった
同種の	洗濯機としては
洗濯機としては	世界初であった
ファジィ制御という	マッチした
当時	マッチした
導入が	マッチした
高級路線にも	マッチした
ことから	集めた
裏方の	制御技術であるにも関わらず
制御技術であるにも関わらず	集めた
注目を	集めた
度合いは	選ばれる程であった
1990年の	新語流行語大賞における
金賞で	選ばれる程であった
チューニングを	自動化した
ニューロファジィ制御を	開発し
開発し	突破して
限界を	突破して
突破して	評価されるだけでなく
学会で	評価されるだけでなく
評価されるだけでなく	巻き起こした
応用にも	成功して
成功して	巻き起こした
ブームを	巻き起こした
成功を	受けて
他社も	発売した
知的制御を	用いる
製品を	発売した
多数	発売した
1990年代中頃までは	用いられており
白物家電の	売り文句として
売り文句として	用いられており
名称が	用いられており
大々的に	用いられており
製品名では	付与されていた
愛妻号DAYファジィ	分類としては
掃除機の	分類としては
運転モードでは	付与されていた
名称が	付与されていた
手法は	あった
オンオフ制御や	モデル化するこの作業は対象が複雑な
対象を	モデル化するこの作業は対象が複雑な
数式で	モデル化するこの作業は対象が複雑な
客観的に	モデル化するこの作業は対象が複雑な
機構を	持つ
場合は	なる
必要が	ある
現代制御等と	比較して
比較して	抑えながら
経験則や	計測した
特徴が	なる
利用可能と	なる
ニューロファジィは	抑えながら
開発工数を	抑えながら
柔軟性を	できるという
利点が	あった
開発者らの	努力にも関わらず
制御を	改善する
多少	改善する
程度で	迎えた
限界を	迎えた
深層学習が	不可能な
ニューラルネットワークの	組み合わせであり
組み合わせであり	与えられたとしても
データが	与えられたとしても
潤沢に	与えられたとしても
向上には	あった
限界が	あった
以降	進まず
能力限界から	進まず
改善は	進まず
進展は	無くなり
1990年代末には	なった
知的制御を	搭載する
白物家電が	なった
大多数に	なった
ことで	去った
ブームは	去った
ブーム後は	なったが
一般には	意識されなく
意識されなく	なったが
現在では	使われ
裏方の	技術として
技術として	使われ
家電製品のみならず	使われ
社会インフラにも	使われ
安定性が	実証されている
2003年頃には	発展した
人間が	設計した
設計した	オントロジーファジィルールとして表現するを
オントロジーファジィルールとして表現するを	利活用する
利活用する	ネットワークインテリジェンスという
分野に	発展した
著作で	超越し
人工知能が	超越し
点で	超越し
人間を	超越し
超越し	担い
進歩を	担い
世界を	変革する
技術的特異点シンギュラリティが	訪れると
2045年にも	訪れると
説を	発表した
2006年に	提案された
ジェフリーヒントンらの	研究チームにより
研究チームにより	提案された
深層化手法が	提案された
提案された	現在のディープラーニングの直接的な起源
2010年代に	入り
データを	扱う
環境が	整備された
整備された	ことで
ことで	前進し始めた
研究が	前進し始めた
2010年に	提唱された
英国エコノミスト誌で	提唱された
用語が	提唱された
ワトソンが	勝利し
練習戦で	勝利し
人間に	勝利し
勝利し	なった
ニュースと	なった
2012年に	優勝した
画像処理コンテストで	優勝した
チームが	優勝した
精度改善を	果たした上で
果たした上で	優勝した
優勝した	ことで
ことで	始まった
第三次AIブームが	始まった
2013年には	発表した
研究チームが	開発した
東ロボくんで	挑んだと
模擬試験に	挑んだと
解析に	あたる
専用プログラムを	使い
実際に	臨んだ
受験生が	臨んだ
問題を	解読した
私立大学には	合格できる
合格できる	水準だった
2014年には	提唱された
日本の	人工知能学者である
人工知能学者である	齊藤元章により
齊藤元章により	先立ち
特異点に	先立ち
コンピューター技術の	進歩により
進歩により	近づくという
生産コストが	近づくという
概念も	提唱された
ジェフホーキンスが	続けているが
実現に	向けて
研究を	続けているが
中で	自己連想記憶理論という
理論を	展開している
世界各国において	進んでいるが
軍事民間共に	進んでいるが
実用化に	向け
研究開発が	進んでいるが
開発が	進行しているものの
進行しているものの	留まった
2010年代には	留まった
自動化は	留まった
ものに	留まった
UCAVは	利用されているが
一部操作は	行っている
地上から	行っている
ロボット向けとしては	登場している
ロドニーブルックスが	提唱した
提唱した	包摂アーキテクチャという
理論が	登場している
これは	ものではなく
知が	先行する
先行する	ものではなく
神経ネットワークのみを	用いて
環境から	学習する
行動型システムを	用いている
これに	基づいた
ゲンギスと	呼ばれる
ロボットは	持たないにも関わらず
脳を	持たないにも関わらず
2015年10月に	勝利して
米DeepMind社が	作成した
AlphaGoが	勝利して
プロ囲碁棋士に	勝利して
勝利して	注目され
以降は	注目され
ディープラーニングと	呼ばれる
手法が	注目され
注目され	進められている
他にも	進められている
人工知能が	与える
雇用などに	与える
影響についても	進められている
研究が	進められている
DeepMindが	導き出す
関連性を	導き出し
ものを	導き出す
ディファレンシャブルニューラルコンピューターを	発表し
ワンショット学習を	する
関係推論の	ような
認識能力を	持つ
2017年8月には	解決した
記号接地問題シンボルグラウンディング問題を	解決した
整備	高性能化により
計算資源と	なる
GPUの	高性能化により
高性能化により	優勝した
2012年に	優勝した
ディープラーニングが	優勝した
画像処理コンテストで	優勝した
手法に	付けて
圧倒的	付けて
大差を	付けて
優勝した	ことで
ことで	持って
概念は	持って
注目を	集め
現実味を	持って
普及を	受けて
研究開発の	現場においては
現場においては	立ち上げられている
汎用人工知能AGIを	開発する
プロジェクトが	立ち上げられている
現場では	されている
脳を	リバースエンジニアリングして
リバースエンジニアリングして	構築された
機械学習を	組み合わせる
アプローチが	されている
有望と	されている
結果として	提唱され
タスクのみを	扱う
ディープラーニングから	進んだ
一歩	進んだ
タスクを	扱う
同時に	扱う
理論が	提唱され
提唱され	始めている
3Dゲームの	ような
仮想空間で	動かし
モデルを	動かし
ことを	学ばせるといった
高速に	学ばせるといった
ことも	上げているシミュレーションによる学習
成果を	上げているシミュレーションによる学習
不可能と	考えて
身体知を	再現するために
再現するために	必要だと
全人体シミュレーションが	必要だと
必要だと	する
振る舞いを	見せる
作成に	挑む
関係に	あると
デジタル的再現人工意識に	挑戦する
研究者も	いる
コストで	なった
計算リソースが	入るように
手に	入るように
ことで	出現し
ビッグデータが	出現し
出現し	寄せており
企業が	寄せており
関心を	寄せており
全世界的に	行って
民間企業主導で	行って
投資を	行って
研究開発競争が	展開されている
2011年の	DWaveSystemsによる
製品化を	して
嚆矢と	して
超々並列処理が	可能な
ITインフラが	実用化され
実用化され	始めた
事で	解決できる
高速化にも	関わる
組み合わせ最適化問題を	解決できる
リアルタイムに	解決できる
環境が	整備され
整備され	始めている
動向を	受ける
形で	なった
2016年頃から	なった
ニュース番組でも	なった
報道が	なった
2017年には	するために
イーロンマスクが	するために
進化し続ける	人工知能に対して
人工知能に対して	取らないように
人間が	取らないように
遅れを	取らないように
するために	研究開発する
脳を	接続する
機械に	接続する
ブレインマシンインターフェースを	研究開発する
ニューラリンク社を	立ち上げていた
ことを	公表し
公表し	なった
世界中で	なった
話題に	なった
ブレインマシンインターフェースにより	予測されている
インターネットが	出現する
事が	予測されている
2017年10月には	提唱された
ジェフリーヒントンにより	学習できる
位置関係まで	含めて
カプセルネットワークが	提唱された
2018年3月16日の	提言によると
国際大学GLOCOMの	提言によると
提言によると	分析されている
AIを	活用する
事で	寄与できると
社会変革に	寄与できると
寄与できると	分析されている
2018年8月	実装し
OpenAIが	実装し
好奇心を	実装し
無報酬で	行う
探索を	行う
人間らしいと	いう
2018年9月	開発した
MITリンカーン研究所は	開発した
段階を	経て
識別したのかが	分かる
アーキテクチャを	開発した
2019年に	入ると
深層学習では	されてきた
困難と	されてきた
言語処理において	あり
進展が	あり
Wikipediaなどを	使用した
読解テストで	至った
人間を	上回るに
Googleは	開発している
アレン脳科学研究所と	連携し
連携し	開発している
脳スキャンによって	生まれた
データを	処理するための
ソフトウェアを	開発している
時点で	達していると
Googleが	管理している
データ量は	達していると
1Zettaバイトに	達していると
Googleは	始めており
マックスプランク研究所とも	始めており
共同研究を	始めており
電子顕微鏡写真から	再構成するという
神経回路を	再構成するという
研究を	行っている
中国では	立ち上げ
第13次5カ年計画から	位置づけ
AIを	位置づけ
国家プロジェクトに	位置づけ
位置づけ	立ち上げ
脳研究プロジェクトとしても	立ち上げ
官民一体で	推進してる
研究開発を	推進してる
教育機関では	投じられてもいる
天才児を	集めて
開発に	投じられてもいる
マサチューセッツ工科大学MITの	教授やなどによれば
教授やなどによれば	あると
中国では	あると
欧米と	比較して
比較して	あると
実験を	しやすい
環境に	あると
日本で	推進している
研究開発を	推進している
齊藤元章も	主張している
AIの	開発において
開発において	リードする
中国が	リードする
可能性を	主張している
ディープラーニング用計算機の	4分の3は中国が占めてる
4分の3は中国が占めてる	ともされる
米国政府によれば	なっている
2013年から	なっている
論文数では	なっている
中国が	超えて
米国を	超えて
世界一と	なっている
やなどAIの	独占している
大会でも	独占している
中国勢が	独占している
上位を	独占している
アップルなどの	幹部でもあった
台湾系アメリカ人科学者のは	を著して
中国が	握りつつあると
AIで	握りつつあると
覇権を	握りつつあると
メディアなどが	取り上げた
フランス大統領エマニュエルマクロンは	宣言し
開発支援に	向け
15億ドル約1600億円を	支出すると
支出すると	宣言し
宣言し	開き
AI研究所を	開き
パリに	開き
富士通などを	招致した
イギリスとも	決定されている
連携も	決定されている
215億ユーロが	投じられる
韓国は	する
20億ドルを	する
2022年までに	する
投資を	する
AI機関を	設立し
設立し	作られた
褒賞制度も	作られた
目標は	ことだと
2022年までに	入る
世界トップ4に	入る
ことだと	いう
3位	7位だった
インドで	7位だった
日本は	7位だった
プログラミング言語は	使われている
Pythonが	使われている
深層学習を	利用するには
利用するには	なる
線形代数	確率統計といった
数学知識が	なる
必要と	なる
脳シミュレーションを	行うには
知識も	なる
松尾豊は	否定しているが
著書	否定しているが
人工知能は	超えるか
人間を	超えるか
人間に対して	起こす
反乱を	起こす
可能性を	否定しているが
否定しているが	いる
人工知能の	危険性について
危険性について	鳴らしている
警鐘を	鳴らしている
教授は	変わると
弾圧を	併せ持つ
中華人民共和国が	成功すれば
開発競争で	成功すれば
成功すれば	優位という
国家が	優位という
技術革新に	優位という
既成概念が	変わると
一人と	呼ばれているは
中国が	利用している
政治目的で	利用している
人工知能を	利用している
ことに	鳴らしており
警鐘を	鳴らしており
中国に	代表される
人工知能で	抑圧する
人権を	抑圧する
AI独裁と	呼んだ
中国では	埋め込んだ
帽子に	埋め込んだ
センサーから	監視する
感情を	監視する
人工知能で	監視する
プロジェクトが	推し進められ
歩行者まで	行わせ
監視を	行わせ
人工知能に	行わせ
システム天網を	搭載するなど
搭載するなど	行われている
監視社会管理社会化が	行われている
新疆ウイグル自治区では	あると
携帯電話などから	収集した
個人情報を	解析するや
人工知能で	解析するや
解析するや	選別した
人種プロファイリングで	選別した
ウイグル族を	経ずに
法的手続きを	経ずに
約1万5千人も	犯す
犯罪を	犯す
可能性が	あると
新疆ウイグル再教育キャンプに	予防拘禁していると
予防拘禁していると	する
中国政府の	内部文書であるが
内部文書であるが	報じられており
AIを	使った
コンピュータが	送る
人間を	送る
強制収容所に	送る
国際問題に	なっている
香港では	恐れ
監視社会化を	恐れ
2019年	香港民主化デモが起きた
際は	破壊された
監視カメラを	搭載した
スマート街灯が	破壊された
市民に	破壊された
中国は	輸出しており
AI監視技術を	輸出しており
世界各国に	輸出しており
輸出しており	懸念されている
国際連合の専門機関である	国際電気通信連合ITUを通じて
国際電気通信連合ITUを通じて	主導してる
中国が	主導してる
国際標準化も	主導してる
ことから	拡散する
中国の	ような
人権侵害が	拡散する
世界に	拡散する
ことが	懸念されている
人権団体などから	懸念されている
社会信用システムに	代表されるような
代表されるような	活用して
人工知能で	活用して
ビッグデータを	活用して
活用して	決める
適性を	決める
制度は	あり
格差を	固定化する
ことに	繋がると
懸念が	あり
欧州連合では	施行された
2018年5月から	認めない
人工知能のビッグデータ分析のみによる	認めない
差別を	認めない
EU一般データ保護規則が	施行された
顔認識	達したのに対して
精度で	達したのに対して
Megviiは	達したのに対して
9割超で	達したのに対して
IBMは	達したのに対して
8割に	達したのに対して
Amazonは	発表した
6割で	あると
バイアスが	あると
研究を	発表した
発表した	なった
際は	なった
論争に	なった
軍隊は	試みている
自動化を	試みている
アメリカ海軍は	破壊できる
ファランクスCIWSを	導入しガトリング砲により
対艦ミサイルを	破壊できる
イスラエル軍は	所有し
アイアンドームを	所有し
所有し	稼働させて
境界線には	検知する
標的を	検知する
自動	検知する
サムソンRCWSを	稼働させて
稼働させて	射殺している
人間を	射殺している
今後	生み
AIは	生み
軍事能力を	生み
展開を	変え
戦争を	一変させ
一変させ	決めることになるとの
変化は	決めることになるとの
軍事バランスを	決めることになるとの
主張も	ある
P1哨戒機の	ように
戦闘指揮システムに	搭載されることもある
支援用に	搭載されることもある
2016年6月	発表された
研究チームが	開発した
ALPHAは	発表された
模擬空戦で	勝利したと
一方的に	勝利したと
勝利したと	発表された
AIプログラムは	使用しており
制御を	使用しており
必要と	せず
国防総省は	出し
観点から	介さない
判断を	介さない
開発禁止令を	出し
2012年に	出し
2017年には	した
これを	恒久的な
ものに	した
人工知能に	勝ち残る力として
人間が	勝ち残る力として
勝ち残る力として	注目されている
OODAループが	注目されている
首脳らは	主張している
AIの	軍事利用により
軍事利用により	加速すると
不安定化は	加速すると
加速すると	主張している
2015年に	開催された
ブエノスアイレスで	開催された
創業者のイーロン・マスク	出されたが
スティーブウォズニアックら	企業家らにより
科学者と	企業家らにより
企業家らにより	出されたが
公開書簡が	出されたが
そこには	とらえられ
銃火器を	操る
AI搭載型兵器は	とらえられ
核兵器に	続く
革命と	とらえられ
うち	なると
一部は	なると
数年以内に	なると
実用可能と	なると
選別攻撃などに	利用され
利用され	記された
開発競争が	ならないと
人類にとって	有益な
ものとは	ならないと
同年4月には	求めている
ロースクールと	国際人権団体である
ヒューマンライツウォッチが	求めている
禁止を	求めている
2017年11月には	行われ
国際連合で	行われ
AIの	軍事利用に関する
公式専門家会議が	行われ
2019年8月に	採択するも
同会議は	採択するも
AI兵器の	運用をめぐる
国際ルールを	採択するも
採択するも	盛り込まれなかった
法的拘束力は	盛り込まれなかった
状態に	あるとも
米国中国ロシアは	行っている
核開発に	匹敵する
開発競争を	めぐって
軍事利用を	めぐって
中国は	発表し
2017年6月に	成功した
自律飛行実験で	成功した
前年2016年に	成功した
飛行実験に	成功した
記録を	更新して
更新して	発表し
翌2018年5月には	発表し
都市を	爆撃する
映像も	発表し
発表し	行うなど
同年6月には	行うなど
自律無人艇を	使った
試験を	行うなど
技術特にスウォームと	呼ばれる
統合運用で	進展しており
中国が	進展しており
進展しており	されている
アメリカに	追い付く
可能性が	ある
ことについて	懸念し
懸念し	あるとの
アメリカ側では	あるとの
将来に	備える
必要が	あるとの
主張も	されている
軍用AI開発は	与え
政界に	与え
危機感を	与え
ドナルドトランプ大統領は	協力していると
設立などで	協力していると
中国人民解放軍に	協力していると
協力していると	非難し
Googleを	非難し
非難し	面談して
CEOサンダーピチャイは	面談して
トランプ大統領と	面談して
面談して	釈明する
成果は	釈明する
中国に限らず	開放されていると
人々に	開放されていると
開放されていると	釈明する
事態に	なった
Googleが	協力する
軍事利用に	協力する
極秘計画	行っていた
メイヴン計画を	行っていた
ことが	暴露されており
社員に	暴露されており
暴露されており	受けた
公聴会では	受けた
中国政府に	協力する
ともに	誓った
人工知能を	用いた
人権侵害は	拒否すると
拒否すると	誓った
Googleが	誓った
整合性で	受けた
追及を	受けた
標的選択支援アルゴリズムに	報道された際は
AI研究者が	関わったと
報道された際は	否定した
モデリングと	否定した
Microsoftが	呼んだ
共同研究を	発表した
際も	呼んだ
波紋を	呼んだ
2019年11月に	構築しているだけでなく
マークエスパー国防長官は	構築しているだけでなく
中国が	構築しているだけでなく
AIによって	構築しているだけでなく
監視国家を	構築しているだけでなく
構築しているだけでなく	販売している
中東で	拡散させて
彩虹など	拡散させて
無人攻撃機を	拡散させて
大量に	拡散させて
拡散させて	攻撃する
AIで	攻撃する
自律的に	攻撃する
ドローン兵器も	販売している
ことに	鳴らした
警鐘を	鳴らした
中国は	実用化してると
実用化してると	される
他	なりすましたり
個人を	攻撃したり
攻撃したり	なりすましたり
ディープフェイクで	なりすましたり
ボット投稿により	挙げられている
世論を	挙げられている
懸念が	挙げられている
Googleは	発表した
2019年3月	指導するために
人工知能プロジェクトを	指導するために
倫理面で	指導するために
指導するために	構成される
哲学者政策立案者経済学者テクノロジスト等で	構成される
構成される	設置すると
AI倫理委員会を	設置すると
設置すると	発表した
倫理委員会には	含まれており
反科学反マイノリティ地球温暖化懐疑論等を	支持する
人物も	含まれており
Google社員らは	要請した
解任を	要請した
Googleは	判明したという
倫理委員会が	機能できない
期待どおりに	機能できない
ことが	判明したという
理由で	発表した
解散を	発表した
東洋哲学を	吸収させるという
AIに	吸収させるという
テーマに	応じて
井口尊仁は	挙げ
プロジェクトを	挙げ
アニミズムで	見いだす
ものに	見いだす
霊的存在を	見いだす
文化が	ありますと
三宅	立石従寛に
立石従寛に	語る
現代アートや	論じた
悟りを	やって
AIに	やらせるかを
人工知能のための哲学塾東洋哲学篇にも	通じている
レバンドウスキーは	創立している
2017年	創立している
AIを	する
神と	する
WayoftheFuture未来の道を	創立している
使命は	表現されており
人工知能AIに	基づいた
実現を	促進し
促進し	開発する
崇拝を	通して
社会を	する
ことに	貢献する
ことと	表現されており
抽象的に	表現されており
表現されており	報道した
海外メディアは	報道した
歴史などと	関連付けて
関連付けて	報道した
Waymoは	行っている
レバンドウスキーが	盗用した
機密情報を	盗用した
ことを	訴え
裁判を	行っている
一方	征服するんだと
レバンドウスキーは	征服するんだと
Uberの	元CEOトラビスカラニックに対し
ボットひとつずつ	征服するんだと
我々は	征服するんだと
世界を	征服するんだと
征服するんだと	発言するなど
発言するなど	示している
振る舞いを	示している
釈徹宗は	なってきていますと
線引きも	なってきていますと
不明瞭に	なってきていますと
哲学者倫理学者である	内田樹によれば
内田樹によれば	いう
哲学者は	していると
みんな	していると
話を	していると
発明家レイカーツワイルが	言うには
哲学者ジョンサールが	提起した
論争は	話題である
哲学議論で	ホットな
ホットな	話題である
哲学者ジョンサール	ダニエルデネットによると
ダニエルデネットによると	主張している
ネドブロックらの	中国脳といった
機能主義に	批判的な
思考実験は	主張している
意識が	実現できないと
形式論理システムによって	実現できないと
主張している	実現できないと
科学を	語るとは
ことかにおいて	指摘している
須藤靖は	指摘している
哲学的考察科学哲学が	指摘している
実際には	指摘している
科学と	断絶している
ことを	指摘している
心や	意識という
問題を	解明してきた
人工知能研究開発等に	関連して
関連して	批判している
フランシスクリックは	批判している
哲学者たちは	2000年という
間	残して
ほとんど	残して
何も	残して
成果を	残して
観点において	評価されている
哲学は	学問科学に過ぎないと
三流の	学問科学に過ぎないと
学問科学に過ぎないと	評価されている
澤口俊之は	賛同し
クリックに	賛同し
賛同し	述べている
これは	なるが
愚痴に	なるが
哲学者や	思想家というのは
思想家というのは	思うと
暇だと	思うと
実際	伝えており
哲学は	始まったと
暇（スコレー）から	始まったと
アリストテレスが	伝えており
上記の	ような
否定的発言も	的外れではないと
的外れではないと	言う
野家啓一は	言う
哲学者は	してきた
科学とは	違う
日常的言語で	語ろうと
宇宙を	語ろうと
理論物理学者ディラックは	信用していなかった
哲学者を	信用していなかった
ディラックが	見たところ
見たところ	理解していない
ウィトゲンシュタインを	含め
哲学者たちは	理解していない
量子力学どころか	理解していない
概念さえ	理解していない
日常的言語を	使っても
意思疎通を	行う
ことは	できないというのが
ディラックの	考えだと
考えだと	されている
合原一幸編著	論じられているが
人工知能は	創られるによれば
発展に	伴って
哲学が	論じられているが
一部で	論じられているが
特異点と	言っても
数学的な	話ではない
前掲書は	記している
そもそも	超えるという
シンギュラリティと	関係した
関係した	議論における
脳を	超えるという
言明自体が	定義できていないと
定義できていないと	記している
脳を	捉える
デジタル情報処理システムとして	捉える
観点から	見れば
シンギュラリティは	起こり得るかもしれない
脳は	ハイブリッド系である
