人工知能じんこうちのうAIエーアイとは計算という	概念と
啓蒙し	発生したが
優秀な	成果も
成果も	発生したが
発生したが	指摘された
論理の	ブラックボックス性が
ブラックボックス性が	指摘された
1998年には	提唱されたが
非構造化データ形式の	XMLが
国際規格である	XMLが
XMLが	提唱されたが
提唱されたが	適用し
ここから	適用し
Web上の	非構造化データに対して
非構造化データに対して	適用し
アプリケーション別に	適した
適した	意味付けを
意味付けを	適用し
適用し	行わせる
処理を	行わせる
行わせる	試みが
試みが	開始された
同年に	提唱された
W3Cの	ティムバーナーズ
ティムバーナーズ	リーにより
Webに	行わせる
知的処理を	行わせる
行わせる	セマンティックウェブが
セマンティックウェブが	提唱された
この	技術は
技術は	行わせる
Web上の	データに
データに	付加して
意味を	付加して
付加して	行わせる
コンピュータに	行わせる
知的処理を	行わせる
行わせる	方法を
方法を	規格化する
国際的に	規格化する
規格化する	ものである
この	規格には
規格には	含まれている
知識工学における	オントロジーを
オントロジーを	表現する
表現する	データ形式の
データ形式の	OWLも
OWLも	含まれている
含まれている	ことから
ことから	分かる
かつて	流行した
流行した	亜種である
エキスパートシステムの	亜種である
亜種である	ことが
ことが	分かる
2000年代前半に	完了しているが
規格化が	完了しているが
完了しているが	していない
Web開発者にとっては	見出せなかった
開発工数に	見合うだけの
見合うだけの	メリットが
メリットが	見出せなかった
見出せなかった	ことから
ことから	していない
現在も	していない
普及は	していない
日本においては	流行した
エキスパートシステムの	流行の
流行の	後に
後に	流行した
ニューロファジィが	流行した
しかし	終焉した
研究が	進むにつれて
進むにつれて	直面し
計算リソースや	データ量の
データ量の	不足
不足	シンボルグラウンディング問題
シンボルグラウンディング問題	フレーム問題に
フレーム問題に	直面し
直面し	至る
産業の	在り方を
在り方を	激変させるような
激変させるような	AIに
AIに	至る
至る	ことは
ことは	無く
無く	終焉した
ブームは	終焉した
1980年代に	入って
入って	なり
大企業の	研究所を
研究所を	中心に
中心に	提案されるように
知識工学に	基づく
基づく	エキスパートシステムが
エキスパートシステムが	提案されるように
多数	提案されるように
提案されるように	なり
なり	立ち上がった
エキスパートシステムを	する
専門と	する
する	AIベンチャーも
AIベンチャーも	立ち上がった
次々と	立ち上がった
その	流行から
流行から	生まれた
生まれた	プロジェクトとして
究極の	プロジェクトとして
プロジェクトとして	挙げられる
第五世代コンピュータが	挙げられる
1982年から	1992年まで
1992年まで	費やして
日本は	費やして
国家プロジェクトとして	費やして
570億円を	費やして
費やして	進めるも
第五世代コンピュータの	研究を
研究を	進めるも
進めるも	必要で
採用した	知識工学的手法では
知識工学的手法では	必要で
膨大な	ルールの
ルールの	手入力が
手入力が	必要で
必要で	あり
専門家間で	異なる
専門知識の	解釈が
解釈が	異なる
異なる	場合には
場合には	行えない等の
統一した	ルール化が
ルール化が	行えない等の
行えない等の	問題も
問題も	あり
あり	至らなかった
実用的な	エキスパートシステムの
エキスパートシステムの	実現には
実現には	至らなかった
実現した	成果物は
成果物は	実行する
Prologの	命令を
命令を	解釈して
直接	解釈して
CPUの	ハードウェアの
ハードウェアの	機構で
機構で	解釈して
解釈して	実行する
高速に	実行する
実行する	Prolog専用機であるが
並列型の	Prolog専用機であるが
Prolog専用機であるが	見つからなかった
商業的な	意味で
意味で	見つからなかった
応用先が	見つからなかった
全く	見つからなかった
1980年代後半から	1990年代中頃に
1990年代中頃に	かけて
かけて	克服する
従来から	用いられてきた
電子制御の	手法として
手法として	用いられてきた
用いられてきた	ONOFF制御
ONOFF制御	PID制御
PID制御	現代制御の
現代制御の	問題を
問題を	克服する
克服する	ため
ため	研究され
知的制御が	研究され
盛んに	研究され
研究され	分類する
知識工学的な	ルールを
ルールを	用いる
用いる	ファジィ制御
ファジィ制御	データの
データの	特徴を
特徴を	学習して
学習して	分類する
分類する	ニューラルネットワーク
ニューラルネットワーク	ニューロファジィという
その	2つを
2つを	融合した
融合した	ニューロファジィという
ニューロファジィという	手法が
手法が	迎えた
日本を	中心に
中心に	迎えた
ブームを	迎えた
バブル期の	高級路線に
高級路線に	合わせて
合わせて	増やし
白物家電製品でも	増やし
センサの	個数と
個数と	種類を
種類を	増やし
大幅に	増やし
増やし	発売され
多様な	データを
データを	元に
元に	最適化する
運転を	最適化する
最適化する	モデルが
モデルが	発売され
多数	発売され
発売され	始めた
ファジィについては	事から
2018年までに	取得している
日本が	取得している
世界の	15の
15の	特許を
特許を	取得している
取得している	事から
事から	なっていた
日本で	大きな
特に	大きな
大きな	ブームと
ブームと	なっていた
なっていた	ことが
ことが	分かっている
現在の	白物家電では
白物家電では	用いられているが
この	当時より
当時より	発展した
更に	発展した
発展した	制御技術が
制御技術が	用いられているが
用いられているが	なり
既に	当たり前の
当たり前の	ものに
ものに	なり
なり	意識されなく
利用者には	意識されなく
意識されなく	なっている
ニューロファジィが	なった
ブームに	なった
なった	1990年代には
1990年代には	ビッグデータという
未だ	ビッグデータという
ビッグデータという	概念は
概念は	無くブロードバンド接続普及後の
無くブロードバンド接続普及後の	行われなかった
2010年に	提唱された
初めて	提唱された
提唱された	行われなかった
データマイニングとしての	産業応用は
産業応用は	行われなかった
しかし	言える
ニューラルネットワークが	巻き込んで
一般人も	巻き込んで
巻き込んで	流行した
流行した	事例としては
事例としては	事例であり
初めての	事例であり
事例であり	言える
2010年代の	ディープラーニングブームの
ディープラーニングブームの	前史とも
前史とも	言える
言える	社会現象と
社会現象と	言える
松下電器が	活かすファジィ
1985年頃から	活かすファジィ
人間が	持つような
持つような	曖昧さを
曖昧さを	活かすファジィ
制御に	活かすファジィ
制御についての	研究を
研究を	開始し
開始し	漕ぎ着けた
1990年2月1日に	ファジィ
ファジィ	洗濯機第1号である
洗濯機第1号である	愛妻号Dayファジィの
愛妻号Dayファジィの	発売に
発売に	漕ぎ着けた
愛妻号Dayファジィは	世界初であった
従来よりも	収集した
多数の	センサーで
センサーで	収集した
収集した	データに
データに	基づいて
基づいて	世界初であった
柔軟に	最適化する
運転を	最適化する
最適化する	洗濯機で
洗濯機で	世界初であった
同種の	洗濯機としては
洗濯機としては	世界初であった
ファジィ制御という	マッチした
当時	マッチした
最先端の	技術の
技術の	導入が
導入が	マッチした
バブル期の	高級路線にも
高級路線にも	マッチした
マッチした	ことから
ことから	集めた
ファジィは	制御技術であるにも関わらず
裏方の	制御技術であるにも関わらず
制御技術であるにも関わらず	集めた
世間の	注目を
大きな	注目を
注目を	集めた
その	流行の
流行の	度合いは
度合いは	選ばれる程であった
1990年の	新語流行語大賞における
新語流行語大賞における	金賞で
新語部門の	金賞で
金賞で	選ばれる程であった
ファジィが	選ばれる程であった
その後に	ファジィ
松下電器は	ファジィ
ファジィ	開発し
ルールの	チューニングを
煩雑な	チューニングを
チューニングを	自動化した
自動化した	ニューロファジィ制御を
ニューロファジィ制御を	開発し
開発し	突破して
従来の	ファジィ理論の
ファジィ理論の	限界を
限界を	突破して
突破して	評価されるだけでなく
学会で	評価されるだけでなく
評価されるだけでなく	巻き起こした
白物家電への	応用にも
応用にも	成功して
成功して	巻き起こした
更なる	ブームを
ブームを	巻き起こした
松下電器の	試みの
試みの	成功を
成功を	受けて
受けて	発売した
他社も	発売した
同様の	知的制御を
知的制御を	用いる
用いる	製品を
製品を	発売した
多数	発売した
1990年代中頃までは	用いられており
メーカー各社による	白物家電の
一般向けの	白物家電の
白物家電の	売り文句として
売り文句として	用いられており
知的制御技術の	名称が
名称が	用いられており
大々的に	用いられており
用いられており	付与されていた
洗濯機の	製品名では
製品名では	付与されていた
愛妻号DAYファジィ	分類としては
掃除機の	分類としては
分類としては	ニューロファジィ掃除機
ニューロファジィ掃除機	運転モードでは
エアコンの	運転モードでは
運転モードでは	付与されていた
ニューロ自動などの	名称が
名称が	付与されていた
ニューロ	ファジィ
ファジィ	ニューロファジィという
ニューロファジィという	手法は
手法は	あった
従来の	オンオフ制御や
単純な	オンオフ制御や
オンオフ制御や	モデル化するこの作業は対象が複雑な
対象を	モデル化するこの作業は対象が複雑な
数式で	モデル化するこの作業は対象が複雑な
客観的に	モデル化するこの作業は対象が複雑な
モデル化するこの作業は対象が複雑な	機構を
機構を	持つ
持つ	場合は
場合は	なる
極めて	難しく
難しく	なる
なる	必要が
必要が	ある
ある	PID制御や
PID制御や	現代制御等と
現代制御等と	比較して
比較して	抑えながら
人間の	経験則や
主観的な	経験則や
経験則や	計測した
計測した	データの
データの	特徴が
特徴が	なる
利用可能と	なる
なる	ファジィ
ファジィ	ニューロ
ニューロ	ニューロファジィは
ニューロファジィは	抑えながら
開発工数を	抑えながら
抑えながら	できるという
環境適応時の	柔軟性を
柔軟性を	できるという
高く	できるという
できるという	利点が
利点が	あった
しかし	迎えた
開発者らの	努力にも関わらず
努力にも関わらず	少なさから
計算能力や	データ量の
収集可能な	データ量の
データ量の	少なさから
少なさから	迎えた
既存の	工作機械や
工作機械や	家電製品の
家電製品の	制御を
制御を	改善する
多少	改善する
改善する	程度で
程度で	迎えた
限界を	迎えた
理論的にも	ファジィ
ファジィ	不可能な
集合と	深層学習が
深層学習が	不可能な
不可能な	ニューラルネットワークの
ニューラルネットワークの	組み合わせであり
組み合わせであり	与えられたとしても
計算リソースや	データが
データが	与えられたとしても
潤沢に	与えられたとしても
与えられたとしても	あった
認識精度の	向上には
向上には	あった
限界が	あった
以降	進まず
計算機の	能力限界から
能力限界から	進まず
理論の	改善は
改善は	進まず
遅々と	して
して	進まず
進まず	無くなり
目立った	進展は
進展は	無くなり
無くなり	なった
1990年代末には	なった
知的制御を	搭載する
搭載する	白物家電が
白物家電が	なった
大多数に	なった
なった	ことで
ことで	去った
売り文句としての	ブームは
ブームは	去った
ブーム後は	なったが
一般には	意識されなく
意識されなく	なったが
なったが	使われ
現在では	使われ
裏方の	技術として
技術として	使われ
家電製品のみならず	使われ
雨水の	排水
排水	駐車場
駐車場	管理システムなどの
ビルの	管理システムなどの
管理システムなどの	社会インフラにも
社会インフラにも	使われ
使われ	実証されている
十分に	実証されている
性能と	安定性が
安定性が	実証されている
2003年頃には	発展した
人間が	設計した
設計した	オントロジーファジィルールとして表現するを
オントロジーファジィルールとして表現するを	利活用する
利活用する	ネットワークインテリジェンスという
ネットワークインテリジェンスという	分野に
分野に	発展した
2005年	著作で
レイカーツワイルは	著作で
著作で	超越し
圧倒的な	人工知能が
人工知能が	超越し
知識知能の	点で
点で	超越し
人間を	超越し
超越し	担い
科学技術の	進歩を
進歩を	担い
担い	世界を
世界を	変革する
変革する	技術的特異点シンギュラリティが
技術的特異点シンギュラリティが	訪れると
2045年にも	訪れると
訪れると	する
する	説を
説を	発表した
2006年に	提案された
ジェフリーヒントンらの	研究チームにより
研究チームにより	提案された
オートエンコーダによる	ニューラルネットワークの
ニューラルネットワークの	深層化手法が
深層化手法が	提案された
提案された	現在のディープラーニングの直接的な起源
2010年代に	入り
入り	整備された
膨大な	データを
データを	扱う
扱う	研究開発の
研究開発の	ための
ための	環境が
環境が	整備された
整備された	ことで
ことで	前進し始めた
AI関連の	研究が
研究が	前進し始めた
再び	前進し始めた
大きく	前進し始めた
2010年に	提唱された
英国エコノミスト誌で	提唱された
ビッグデータという	用語が
用語が	提唱された
同年に	ワトソンが
質問応答システムの	ワトソンが
ワトソンが	勝利し
クイズ番組ジェパディの	練習戦で
練習戦で	勝利し
人間に	勝利し
勝利し	なった
大きな	ニュースと
ニュースと	なった
2012年に	優勝した
画像処理コンテストで	優勝した
ジェフリーヒントン氏の	チームが
チームが	優勝した
従来手法からの	精度改善を
大幅な	精度改善を
精度改善を	果たした上で
果たした上で	優勝した
優勝した	ことで
ことで	始まった
第三次AIブームが	始まった
2013年には	発表した
国立情報学研究所や	富士通研究所の
富士通研究所の	研究チームが
研究チームが	開発した
開発した	東ロボくんで
東ロボくんで	挑んだと
東京大学入試の	模擬試験に
模擬試験に	挑んだと
挑んだと	発表した
数式の	計算や
計算や	解析に
単語の	解析に
解析に	あたる
あたる	専用プログラムを
専用プログラムを	使い
使い	解読した
実際に	臨んだ
受験生が	臨んだ
臨んだ	大学入試センター試験と
大学入試センター試験と	東大の
東大の	2次試験の
2次試験の	問題を
問題を	解読した
代々木ゼミナールの	判定では
判定では	難しいが
東大の	合格は
合格は	難しいが
難しいが	合格できる
私立大学には	合格できる
合格できる	水準だった
2014年には	提唱された
日本の	人工知能学者である
人工知能学者である	齊藤元章により
齊藤元章により	先立ち
特異点に	先立ち
先立ち	プレシンギュラリティという
オートメーション化と	コンピューター技術の
コンピューター技術の	進歩により
進歩により	近づくという
衣食住の	生産コストが
生産コストが	近づくという
ゼロに	限りなく
限りなく	近づくという
プレシンギュラリティという	概念も
概念も	提唱された
ジェフホーキンスが	続けているが
実現に	向けて
向けて	続けているが
研究を	続けているが
続けているが	展開している
著書考える脳考えるコンピューターの	中で
中で	自己連想記憶理論という
自己連想記憶理論という	理論を
独自の	理論を
理論を	展開している
世界各国において	進んでいるが
軍事民間共に	進んでいるが
実用化に	向け
向け	進んでいるが
研究開発が	進んでいるが
進んでいるが	留まった
とくに	進行しているものの
無人戦闘機や	無人自動車ロボットカーの
無人自動車ロボットカーの	開発が
開発が	進行しているものの
進行しているものの	留まった
2010年代には	留まった
まだ	留まった
完全な	自動化は
自動化は	留まった
試験的な	ものに
ものに	留まった
留まった	UCAVは
UCAVは	利用されているが
利用されているが	多い
一部操作は	行っている
地上から	行っている
行っている	ものが
ものが	多い
ロボット向けとしては	登場している
CSAILの	ロドニーブルックスが
ロドニーブルックスが	提唱した
提唱した	包摂アーキテクチャという
包摂アーキテクチャという	理論が
理論が	登場している
これは	ものではなく
従来型の	知が
我思う故に	我ありの
我ありの	知が
知が	先行する
先行する	ものではなく
ものではなく	神経ネットワークのみを
体の	神経ネットワークのみを
神経ネットワークのみを	用いて
用いて	学習する
環境から	学習する
学習する	行動型システムを
行動型システムを	用いている
これに	基づいた
基づいた	ゲンギスと
ゲンギスと	呼ばれる
呼ばれる	ロボットは
六本足の	ロボットは
ロボットは	持たないにも関わらず
いわゆる	脳を
脳を	持たないにも関わらず
持たないにも関わらず	行動する
まるで	生きているかの
生きているかの	ように
ように	行動する
2015年10月に	勝利して
米DeepMind社が	作成した
作成した	AlphaGoが
AlphaGoが	勝利して
人間の	プロ囲碁棋士に
プロ囲碁棋士に	勝利して
勝利して	注目され
以降は	注目され
ディープラーニングと	呼ばれる
手法が	注目され
注目され	進められている
人工知能自体の	研究の
研究の	他にも
他にも	進められている
人工知能が	与える
雇用などに	与える
与える	影響についても
影響についても	進められている
研究が	進められている
2016年10月	人工知能技術
DeepMindが	導き出す
入力された	情報の
情報の	関連性を
関連性を	導き出し
導き出し	仮説に
仮説に	近い
近い	ものを
ものを	導き出す
導き出す	人工知能技術
ディファレンシャブルニューラルコンピューターを	発表し
発表し	開発
同年11月	開発
大量の	データが
データが	不要の
不要の	ワンショット学習を
ワンショット学習を	する
可能に	する
する	深層学習
深層学習	システムを
システムを	開発
翌2017年6月	開発
関係推論の	ような
ような	認識能力を
人間並みの	認識能力を
認識能力を	持つ
持つ	システムを
システムを	開発
2017年8月には	解決した
記号接地問題シンボルグラウンディング問題を	解決した
2006年の	ディープラーニングの
ディープラーニングの	発明と
発明と	整備
2010年以降の	ビッグデータ収集環境の
ビッグデータ収集環境の	整備
整備	高性能化により
計算資源と	なる
なる	GPUの
GPUの	高性能化により
高性能化により	優勝した
2012年に	優勝した
ディープラーニングが	優勝した
画像処理コンテストで	優勝した
他の	手法に
手法に	付けて
圧倒的	付けて
大差を	付けて
付けて	優勝した
優勝した	ことで
ことで	持って
技術的特異点という	概念は
概念は	持って
急速に	集め
世界中の	識者の
識者の	注目を
注目を	集め
集め	持って
現実味を	持って
持って	受け止められるように
受け止められるように	なった
ディープラーニングの	発明と
発明と	普及を
急速な	普及を
普及を	受けて
受けて	立ち上げられている
研究開発の	現場においては
現場においては	立ち上げられている
デミスハサビス率いる	DeepMindを
DeepMindを	筆頭に
筆頭に	Vicarious
Vicarious	IBMCortical
IBMCortical	Learning
Learning	Center
Center	全脳アーキテクチャ
全脳アーキテクチャ	PEZYComputing
PEZYComputing	OpenCog
OpenCog	GoodAI
GoodAI	nnaisense
nnaisense	IBMSyNAPSE等
IBMSyNAPSE等	汎用人工知能AGIを
汎用人工知能AGIを	開発する
開発する	プロジェクトが
プロジェクトが	立ち上げられている
数多く	立ち上げられている
これらの	研究開発の
研究開発の	現場では
現場では	されている
脳を	リバースエンジニアリングして
リバースエンジニアリングして	構築された
構築された	神経科学と
神経科学と	機械学習を
機械学習を	組み合わせる
組み合わせる	アプローチが
アプローチが	されている
有望と	されている
結果として	提唱され
HierarchicalTemporalMemoryHTM理論	SystemsCLS理論の
ComplementaryLearning	SystemsCLS理論の
SystemsCLS理論の	更新版等
更新版等	タスクのみを
単一の	タスクのみを
タスクのみを	扱う
扱う	ディープラーニングから
ディープラーニングから	進んだ
更に	一歩
一歩	進んだ
進んだ	提唱され
複数の	タスクを
タスクを	扱う
同時に	扱う
扱う	理論が
理論が	提唱され
提唱され	始めている
3Dゲームの	ような
ような	仮想空間で
仮想空間で	動かし
モデルを	動かし
動かし	現実世界の
現実世界の	ことを
ことを	学ばせるといった
高速に	学ばせるといった
学ばせるといった	ことも
ことも	上げているシミュレーションによる学習
大きな	成果を
成果を	上げているシミュレーションによる学習
また	いる
数は	少ないが
少ないが	あると
AGIだけでは	不可能と
知能の	再現は
再現は	不可能と
不可能と	考えて
考えて	再現するために
身体知を	再現するために
再現するために	必要だと
全人体シミュレーションが	必要だと
必要だと	する
する	研究者や
研究者や	AL人工生命の
より	近い
生物に	近い
近い	振る舞いを
振る舞いを	見せる
見せる	AL人工生命の
AL人工生命の	作成に
作成に	挑む
挑む	研究者
研究者	知能と
知能と	関係に
密接な	関係に
関係に	あると
あると	思われる
思われる	デジタル的再現人工意識に
意識の	デジタル的再現人工意識に
デジタル的再現人工意識に	挑戦する
挑戦する	研究者も
